,video_id,textDisplay,publishedAt
0,4W9xUWjJ9HE,"I’m going to do this workout everyday for a week and tell y’all the results. (Btw this is the only workout I’m going to be doing) 

Day 1: let me tell y’all, this workout was HARD!!! I took so many breaks and kept telling myself just get through the workout.

Day 2: I didn’t think I was sore but when I started the first exercise, I was already dying lol. I still took breaks and those planks KILLED me!! I haven’t seen any changes yet but I know that being consistent will make a difference.

Day 3: I realized that this workout is still as hard as you think it is. I was really sore as well because I did some cardio because it was nice outside today. I also have noticed that this workout has stopped some of my bloating which is good.

Day 4: this workout was really hard today. I knew that I needed to workout because I had fast food today. I did it and those planks really hurt lol. I have noticed that I have lost a pound or two and my stomach is a tiny bit flatter. My bloating is going away slowly but surely.

Day 5: rest day because I needed it. 

Day 6: this workout is still as hard as it was from day one. I have stopped taking so many breaks during the workout, but it still happens lol. I have noticed that my bloating is almost completely gone. So far I am pretty proud of myself for doing this.

Day 7: I did it!! I finished the seven days! Overall, I haven’t bloated like at all anymore. My stomach has gotten flatter and I’m so surprised!! I would definitely recommend this workout. 

Thank you Cassey for pushing me and to keep going even though I wanted to quit!! Love you so much ❤️❤️🥰",2019-03-24T18:21:24.000Z
0,HrpW5PliIdU,I paused the video so she could take a rest,2018-04-28T13:59:04.000Z
0,hAGfBjvIRFI,When your family keeps walking into your room when you're working out 🙄🙄,2016-07-18T23:21:05.000Z
0,CBWQGb4LyAM,"always remember you can pause and take a break if you need to, all these women are extremely fit and we are all at different levels in our fitness journey. don't feel discouraged if u go slower, or need to stop, because at least u are here and working hard. that's what matters.",2019-07-11T23:50:48.000Z
0,NmMRFWIokK4,This looks like an amazing workout! I love Les Mils combat workouts.,2018-03-18T16:26:24.000Z
0,DcRIf4_sEuc,"These workout vLogs are becoming more and more fun for me to film.  I feel like my old self and I am finally having fun in the gym again.  For a while, my workouts felt like ""work"" rather than enjoyment.  But now that I can edit my training into full routines for you guys on a weekly basis, the gym is starting to feel like it used to and we are all making gains together each week!  I really want to thank all of you guys for your support and and if you have suggestions to make these workouts even more fun, comment below!  NO LET'S GET STAHHHTED!

(1:49)- Barbell Bench Press: 5 SETS: 8, 8, 6, 6, 4 REPS
(4:31)- Modified Dumbbell Bench: 4 SETS: 6 - 8 REPS

(6:37)- Barbell Overhead Press: 5 SETS: 8, 8, 6, 6, 4 REPS
(9:07)- Dumbbell Rear Delt Fly: 4 SETS: 6 - 8 REPS
(10:54)- Power Shrug: 4 SETS: 6 - 8 REPS

(12:17)- SUPERSET
Chest Dip: 3 SETS: 6 - 8 REPS
Diamond Push-Up: 3 SETS: FAILURE

(13:35)- Leg Lift: 3 SETS: 12 - 15 REPS
(16:27)- Wood Chopper: 3 SETS: 12 - 15 REPS PER SIDE

*JED NORTH - SCOTT20 - FOR 20% ENTIRE ORDER* - https://jednorth.com

*CHANGE  NOTIFICATIONS TO ALL* - https://www.youtube.com/subscription_manager",2019-10-15T17:10:06.000Z
0,05MmHF3sGJs,"Men's Health gave me my start in fitness.  In fact, if it wasn't for them I most likely wouldn't be where I am today.  I'm so thankful and grateful to the team that I worked with at the start of my career.  

But it seems like since then things have just taken a COMPLETE left turn and the integrity of the Men's Health video team in terms of providing quality content has just dissipated.  Is this hate or is this bringing attention to the widespread of misinformation and utter GAHHHBAGE that has become YouTube Fitness?

I know what I'm doing in the gym, so stuff like this doesn't impact my workout.  But if you're a fan of Tom Ellis, who is an AMAZING actor, you're more than likely going to trust the advice given in this video because MEN'S HEALTH puts their seal of approval on it and that is just WRONG!",2019-08-04T19:32:02.000Z
0,7OO3rbH_VoM,The guy with blue hair has no idea lol he is me at the club 🤣🤣,2019-07-18T15:34:35.000Z
0,VZOBjI-Vm8w,TO CLARIFY...for Cardi’s verse we were pretending to be Cardi B throwing a shoe at Nicki. I wasn’t saying that Nicki was the one rapping. Also I know nicki didn’t throw a shoe back that part was just for fun.,2018-11-15T19:45:52.000Z
0,18Pc6wRHOnw,*Kon kon ye exercise kal karega gym me hit like*,2019-05-13T12:33:26.000Z
0,_T6O4g5wZ-4,Red bull doesn’t give you wings but Guru Mann’s back strengthening program will ❤️,2019-10-09T12:40:18.000Z
0,mozfk03vCGU,stopppppp!! Yay I'm so glad you're loving it!! Seriously it is my holy grail form morning poop haha. Looking amazing sis xx,2019-10-14T10:01:08.000Z
0,RgEWSjAMZ2M,"Use this as a WHITNEY IS SO GORGEOUS button🤩😍


👇",2019-10-07T19:57:22.000Z
0,YUEs8yQ-MBs,I'm going to do this from tomorrow. Hit like for motivation,2019-07-05T21:28:05.000Z
0,GDe_MwdCTI0,At first it was hard for me to get this exercises done. But i keep pushing & now I can follow all 3 rounds without pausing the video. 👊,2019-04-10T01:47:08.000Z
0,Fd1fkIysTas,Sabemos que nos emocionamos demasido y no dejamos hablar a Sascha como por 20 minutos! Pero somos fans  y ajá... NO SE OLVIDEN DE SUSCRIBIRSE!!!! Y darle a la Campanita!!! ❤️,2019-09-12T01:26:27.000Z
0,Ni-maXbTGiI,"CÓMO PERDER GRASA?
1.Ayuno de 12-14 hrs. 
2.Alternar el macro nutriente energético que se consume en las comidas (carb/grasa/carb/grasa)
3.Cuidar la calidad de la fuente de calorías.
4. Comer sólo una vez a la semana en la calle.
5. Ingerir comida REAL/NATURAL. 
QUIERO MI LIKE!!! 💖",2019-02-03T03:09:27.000Z
0,BPK9WNtpBgk,"Today's session highlights the magic of yoga and how you can step on your mat feeling one way, and leave feeling… different. 
Yoga connects you to your magic.",2019-04-21T14:18:45.000Z
0,UEEsdXn8oG8,"Hello everyone! This lovely little gem is great first thing in the morning or helpful when you just need to move, but can’t commit to a lot.  What is something else you do to start your day off on the right foot?",2019-02-17T12:32:56.000Z
0,qr8KhAAfF2s,Please CLICK THE NOTIFICATION BELL! Our subscribers aren't being shown our videos unless they click the notification bell next to the subscribe button.,2018-08-20T20:40:48.000Z
0,IbiYD1rmXJM,I wish someone could do this for me!,2019-10-14T19:02:56.000Z
0,bweuBMPB8pY,"We hope this class speaks to your heart!  Remember to listen to your body. Some of these postures and exercises can be challenging so take breaks, modify when needed, or slow down the video in the Youtube player settings. The more you incorporate this into your everyday practice the easier this video will get and the stronger you will become! ❤️❤️

Sign up for the Boho Newsletter: https://bit.ly/2SIFqW0  👈👈

Help us translate our videos to your language--- 

https://www.youtube.com/timedtext_cs_panel?c=UCWN2FPlvg9r-LnUyepH9IaQ&tab=2

And check out our new Pinterest page-- http://www.pinterest.com/bohobeautifullife

love and light to you all... 

Juliana & Mark*",2019-07-21T18:44:09.000Z
0,AYdQUS7jfPA,"I struggle with depression and anxiety. Sometimes it felt like my fears would never leave me alone. But thanks to you, I found myself and I am so happy. Thank you❤️",2019-08-26T20:11:30.000Z
0,fD46_RWiaTQ,"I've been doing yoga with a variety of yogis on youtube. But only with you, Kino, I get that feeling of being purified and getting stronger after each practice. You are such a wonderful mentor. Thank you for all of your videos and for being an inspiration to all of us!",2016-06-28T18:37:52.000Z
0,dhnMcvEQa3Y,"I'm Indian ,Watching You Doing This Is Truly Amazing Kino .",2015-03-16T01:01:15.000Z
0,FRAEaBtP2r4,Did you enjoy that class? Try this yoga routine filmed on a retreat in Italy https://youtu.be/GAdHiJRSlEs,2019-04-09T15:45:37.000Z
0,_BR7nj3DPSk,"I really really enjoy your classes Lesley.  Some days I only want to honour my body with a 20 min practice and other days when I feel strong I choose your one hour practices.  Your voice is very soothing, your instructions are clear.  I look forward to going to my yoga mat and meeting with you every day.",2018-12-10T16:10:52.000Z
0,DYY8KovKO3M,"💙 Get the HIPS SLOW STRETCH: http://bit.ly/25minHIPS 
Hi yogi! Stretch out stiff, sore muscles with this 15 minute Full Body Yoga Stretch including a gentle warm up, feel-good sunflowers and deeply stretching before sealing off in savasana. This total body deep stretch can be used in the morning, after work or anytime!",2019-09-02T12:49:32.000Z
0,jkHGgAFJs4k,"💙 Get the HIPS SLOW STRETCH: http://bit.ly/25minHIPS 
This 20 minute Morning Yoga Stretch for Mobility will stretch out your whole body and wake you up with feel good, mostly standing, yoga poses. Melt sore, stiff muscles, breathe better, and improve your flexibility & mobility. Enjoy!",2019-08-26T10:09:43.000Z
0,dRsC1YdXqOc,I've been watching this  3-5mornings a week for a couple years and it never gets old. So glad  I found this,2015-04-18T13:45:38.000Z
0,LBIZFYNHvXA,"omg, I just read your newsletter and couldn't be happier for you, congrats, may she grow big and strong and bring you tons of joy.",2016-08-12T17:37:09.000Z
0,of2spyCtUkw,"I started doing this sequence about a month ago - since then, three separate injuries/pains (tight hamstring, painful ITB and piriformis) have improved dramatically and I was able to run a 60 mile ultramarathon at the weekend virtually pain-free. I highly recommend this to any runners. Thank you so much for posting!",2016-05-05T11:39:04.000Z
0,ndNSxkN-R5I,you are so gentle . i ve cried .thank you,2019-09-30T16:50:21.000Z
0,M8rRaKTaBo0,"definitely needs to slow dow, especially since this is from beginners",2015-04-27T21:23:10.000Z
0,YJzQMWQp9pM,I knew I wasn’t ready for this when half way through I was yelling at the screen and then almost crying because it was to hard. But still finished it,2018-05-31T04:51:49.000Z
0,xKAwyO35plY,"Great to see you in a new video, Candace! This felt great! I love that I got a calm, centering, and invigorating practice in such a short amount of time. I just did it after work as a wind-down, but will be a great morning practice, too. Thank you!",2019-05-16T03:09:38.000Z
0,gQqE3tm7TjI,This was great! But I stayed in a pose for about a minute because I didn't realize I had paused the video! lol,2016-08-05T02:14:54.000Z
0,psscbyQZxpU,Which of these History Channel scandals do you think was the worst and why?,2019-04-05T15:01:13.000Z
0,wImpfdpL9eQ,The loss of the Library of Alexandria was one of the greatest losses of knowledge in human history.,2018-06-07T04:57:32.000Z
0,bSCuE7jmFa4,"If the nazis won WW2, would there be a video on an equivalent of youtube debating what if the allies won the war ?
Would i be here asking the same question in reverse...",2017-09-13T02:28:07.000Z
0,FCuoj5Dz6VI,Everybody gangsta until they realize they are able-bodied and under 30yo,2019-06-29T19:09:29.000Z
0,gHkELWFqGKQ,"Follow us on twitter!

 https://twitter.com/simple_guides",2017-02-16T21:46:28.000Z
0,t3P11ENBZyc,"Teacher: today we’ll be visiting France
Girls: omg so much sightseeing 
Boys:",2019-06-21T01:14:45.000Z
